76,t1,NUTCRACKER,t2,MISTY,y2,ODUS,t3,n1,y3,n2,y1,n3
77,t1,t2,y2,NUTCRACKER,MISTY,ODUS,y1,t3,y3,n1,n2,n3
78,t1,t2,y2,NUTCRACKER,t3,y1,ODUS,n1,n3,MISTY,y3,n2
79,t1,y2,NUTCRACKER,t2,t3,ODUS,y1,n2,n1,y3,n3,MISTY
80,t1,t2,y2,NUTCRACKER,MISTY,ODUS,n1,t3,y1,y3,n2,n3
81,t1,t2,y1,NUTCRACKER,y2,ODUS,t3,MISTY,n1,y3,n3,n2
82,t1,t2,NUTCRACKER,y2,y1,ODUS,t3,MISTY,n1,n3,n2,y3
83,t1,t2,NUTCRACKER,y2,t3,y1,n1,ODUS,y3,n2,MISTY,n3
84,t1,NUTCRACKER,y2,t2,y1,t3,n2,y3,n1,MISTY,ODUS,n3
85,t1,NUTCRACKER,y2,t2,y1,MISTY,n1,t3,n2,n3,y3,ODUS
86,t1,y2,NUTCRACKER,t2,y1,t3,y3,n1,n3,n2,ODUS,MISTY
87,t1,y2,y1,NUTCRACKER,t2,ODUS,n3,n2,t3,y3,n1,MISTY
88,t1,y2,NUTCRACKER,y1,t2,t3,n1,y3,MISTY,n2,ODUS,n3
89,t1,y2,t2,y1,NUTCRACKER,t3,ODUS,MISTY,n1,n2,y3,n3
90,t1,NUTCRACKER,y2,t2,y1,t3,ODUS,n2,n1,MISTY,n3,y3
91,t1,t2,NUTCRACKER,y2,y1,t3,MISTY,n2,y3,ODUS,n3,n1
92,t1,NUTCRACKER,y2,t2,n1,t3,MISTY,y3,n2,y1,ODUS,n3
93,t1,t2,NUTCRACKER,y2,n1,MISTY,y3,y1,ODUS,n3,t3,n2
94,t1,NUTCRACKER,y2,y1,t2,t3,n2,n1,ODUS,MISTY,y3,n3
95,t1,NUTCRACKER,t2,y2,y1,t3,n1,n2,MISTY,ODUS,n3,y3
96,t1,t2,NUTCRACKER,y2,t3,MISTY,y1,ODUS,n1,n3,n2,y3
97,t1,y2,NUTCRACKER,t2,ODUS,t3,y1,n1,n3,y3,MISTY,n2
98,t1,y2,NUTCRACKER,t2,t3,y1,MISTY,n1,ODUS,y3,n2,n3
99,t1,NUTCRACKER,y2,t2,MISTY,n1,n2,t3,y1,ODUS,y3,n3
100,t1,y2,y1,t2,NUTCRACKER,t3,n1,MISTY,ODUS,n3,y3,n2
